solvent,solute,deltaG,logK
CCO,[He],0.08992,-1.52
CCO,[Ne],0.08046,-1.36
CCO,[Ar],0.03431,-0.58
CCO,[Kr],0.009470000000000001,-0.16
CCO,[Xe],-0.02189,0.37
CCO,[Rn],-0.04437,0.75
CCO,[HH],0.0633,-1.07
CCO,O=O,0.036680000000000004,-0.62
CCO,N#N,0.04969,-0.84
CCO,[N-]=[N+]=O,-0.026619999999999998,0.45
CCO,[C-]#[O+],0.04141,-0.7
CCO,C(=O)=O,-0.02485,0.42
CCO,C,0.017159999999999998,-0.29
CCO,CC,-0.02603,0.44
CCO,CCC,-0.053829999999999996,0.91
CCO,CCCC,-0.08282,1.4
CCO,CC(C)C,-0.07099,1.2
CCO,CCCCC,-0.1053,1.78
CCO,CC(C)(C)C,-0.09525,1.61
CCO,CCCCCC,-0.13252,2.24
CCO,CCCC(C)C,-0.12778,2.16
CCO,CCCCCCC,-0.16032000000000002,2.71
CCO,CC(C)CC(C)C,-0.14376,2.43
CCO,CCCCCCCC,-0.18754,3.17
CCO,CC(C)C(C)C(C)C,-0.17417,2.944
CCO,CCCCCCCCC,-0.20824,3.52
CCO,C1CCCC1,-0.12069,2.04
CCO,C1CCCCC1,-0.15086,2.55
CCO,CCC1CCCCC1,-0.19327,3.267
CCO,C=C,-0.02426,0.41
CCO,C(F)(F)(F)F,0.042589999999999996,-0.72
CCO,C(Cl)Cl,-0.14565,2.4619999999999997
CCO,C(Cl)(Cl)Cl,-0.18103,3.06
CCO,C(Cl)(Cl)(Cl)Cl,-0.16269,2.75
CCO,C=C(Cl)Cl,-0.1408,2.38
CCO,CI,-0.12955999999999998,2.19
CCO,CCI,-0.15322,2.59
CCO,C1CCOC1,-0.17973,3.0380000000000003
CCO,C1COCCO1,-0.20351,3.44
CCO,CC(=O)C,-0.16387000000000002,2.77
CCO,CCC(=O)C,-0.18694000000000002,3.16
CCO,CCC(=O)OC,-0.17984,3.04
CCO,CC#N,-0.17156,2.9
CCO,N,-0.11890999999999999,2.01
CCO,CNC,-0.14198,2.4
CCO,CCN(CC)CC,-0.2112,3.57
CCO,C[N+](=O)[O-],-0.18339,3.1
CCO,O,-0.22007,3.72
CCO,CO,-0.20114,3.4
CCO,CCO,-0.22066,3.73
CCO,CCCO,-0.24846999999999997,4.2
CCO,FS(F)(F)(F)(F)F,0.0071,-0.12
CCO,c1ccccc1,-0.16446,2.78
CCO,Cc1ccccc1,-0.19404000000000002,3.28
CCO,CCc1ccccc1,-0.21361999999999998,3.611
CCO,CCCCc1ccccc1,-0.24846999999999997,4.2
CCO,c1ccc(cc1)Cl,-0.21771,3.68
CCO,[N]=O,0.03514,-0.594
CCO,CCCCCCCCCC,-0.2319,3.92
CCO,CCCCCCCCCCCCCCCC,-0.38868,6.57
CCO,CCCCCCCCCCCCCCCCCC,-0.44606,7.54
CCO,CCCCCCCCCCCCCCCCCCC,-0.47031999999999996,7.95
CCO,CCCCCCCCCCCCCCCCCCCC,-0.49338999999999994,8.34
CCO,CCBr,-0.13133,2.22
CCO,CC(C)I,-0.17275,2.92
CCO,CN(C)C,-0.15796,2.67
CCO,CC(C)O,-0.22835999999999998,3.86
CCO,C(=S)=S,-0.13429000000000002,2.27
CCO,Cc1ccc(cc1)C,-0.22066,3.73
CCO,c1ccncc1,-0.24729,4.18
CCO,CCOC(=O)C,-0.17594,2.9739999999999998
CCO,CN(C)C=O,-0.2942,4.973
CC(C)OCCO,CCCCCC,-0.13739,2.32241127477
CC(C)OCCO,CCCCCCC,-0.16365,2.76617854949
CC(C)OCCO,CCCCCCCC,-0.19093,3.2273418790099995
CC(C)OCCO,CCCCCCCCC,-0.21405,3.61821861448
CC(C)OCCO,C1CCCCC1,-0.15525,2.62432199445
CC(C)OCCO,C(Cl)Cl,-0.16383,2.7693231199199997
CC(C)OCCO,C1CCOC1,-0.17708,2.99327780069
CC(C)OCCO,C1COCCO1,-0.20859,3.5258198517699997
CC(C)OCCO,CC(=O)C,-0.15804,2.67150433115
CC(C)OCCO,CCCCOC(=O)C,-0.21978000000000003,3.7150884141300007
CC(C)OCCO,CC#N,-0.17447000000000001,2.94915163989
CC(C)OCCO,c1ccccc1,-0.17903,3.0262647867299997
CC(C)OCCO,CCc1ccccc1,-0.22462,3.7968474644800003
CC(C)OCCO,c1ccc(cc1)Cl,-0.23181999999999997,3.9185316762
CC(C)OCCO,CC(C)O,-0.20555,3.4745674202900005
CC(C)OCCO,Cc1ccc(cc1)C,-0.22751,3.8457681434900004
CC(C)OCCO,Cc1ccccc1C,-0.2343,3.9604392875800003
CC(C)OCCO,CC(CCl)Cl,-0.19515,3.29868052176
CC(C)OCCO,Cc1cccc(c1)C,-0.23058,3.8976775512199997
CC(C)OCCO,c1ccc(cc1)F,-0.18905999999999998,3.1957559204400003
CC(C)OCCO,c1ccc(cc1)Br,-0.25679,4.340567727380001
CC(C)OCCO,CCCCCC#C,-0.18567999999999998,3.1387049898900004
CC(C)OCCO,CCCCCCC#C,-0.21286,3.5980354915599997
CCNC(=O)C,CCCCC,-0.10175,1.72
CCNC(=O)C,CCCCCC,-0.1266,2.14
CCNC(=O)C,CCCCCCC,-0.15204,2.57
CCNC(=O)C,CCCCCCCC,-0.17748,3.0
CCNC(=O)C,C1CCCCC1,-0.1479,2.5
CCNC(=O)C,C(Cl)Cl,-0.1615,2.73
CCNC(=O)C,C(Cl)(Cl)Cl,-0.19818,3.35
CCNC(=O)C,CCOCC,-0.12245999999999999,2.07
CCNC(=O)C,CC(C)OC(C)C,-0.14435,2.44
CCNC(=O)C,CCOC(C)(C)C,-0.15145,2.56
CCNC(=O)C,CCC(C)(C)OC,-0.16742,2.83
CCNC(=O)C,CC(C)(C)OC,-0.14139000000000002,2.39
CCNC(=O)C,C1CCOC1,-0.1686,2.85
CCNC(=O)C,CC(=O)C,-0.15441,2.61
CCNC(=O)C,CCC(=O)C,-0.17865999999999999,3.02
CCNC(=O)C,CCCC(=O)C,-0.19996,3.38
CCNC(=O)C,CO,-0.19937,3.37
CCNC(=O)C,CCO,-0.21475,3.63
CCNC(=O)C,c1ccccc1,-0.17334000000000002,2.93
CCNC(=O)C,Cc1ccccc1,-0.19818,3.35
CCNC(=O)C,CC(C)O,-0.22066,3.73
CCNC(=O)C,CCCC=C,-0.10649000000000002,1.8
CCNC(=O)C,CC(C)C=C,-0.0982,1.66
CCNC(=O)C,CCCCC=C,-0.13193,2.23
CCNC(=O)C,CC(=C)C=C,-0.12187,2.06
CCNC(=O)C,CCC(C)C,-0.09643,1.63
CCNC(=O)C,CC=C(C)C,-0.11654,1.97
CCNC(=O)C,CCCCCCC=C,-0.18339,3.1
CCNC(=O)C,C1CCC=CC1,-0.15914,2.69
CCNC(=O)C,C/C=C\C=C,-0.12838,2.17
CCNC(=O)C,C/C=C/C=C,-0.13133,2.22
CCNC(=O)C,CC=O,-0.11832000000000001,2.0
CCNC(=O)C,CC(=O)OC=C,-0.16624,2.81
c1ccc(cc1)CO,CCCCC,-0.0917,1.55
c1ccc(cc1)CO,CCCCCC,-0.11625,1.965
c1ccc(cc1)CO,CCCC(C)C,-0.10755,1.818
c1ccc(cc1)CO,CCCCCCC,-0.14021,2.37
c1ccc(cc1)CO,CC(C)CC(C)C,-0.12003,2.029
c1ccc(cc1)CO,CCCCCCCC,-0.16476,2.785
c1ccc(cc1)CO,CC(C)C(C)C(C)C,-0.15358,2.596
c1ccc(cc1)CO,CCCCCCCCC,-0.18925,3.199
c1ccc(cc1)CO,C1CCCCC1,-0.13973,2.362
c1ccc(cc1)CO,CCC1CCCCC1,-0.17961,3.036
c1ccc(cc1)CO,C1COCCO1,-0.23735,4.012
c1ccc(cc1)CO,CCC(=O)C,-0.2015,3.406
c1ccc(cc1)CO,C[N+](=O)[O-],-0.19397999999999999,3.279
c1ccc(cc1)CO,CCO,-0.20511,3.467
c1ccc(cc1)CO,Cc1ccccc1,-0.19889,3.362
c1ccc(cc1)CO,CC(C)CCC(C)C,-0.14405,2.435
CCCCCOC(=O)C,[HH],0.0827,-1.3980000000000001
CCCCCOC(=O)C,[C-]#[O+],0.039639999999999995,-0.67
CCOCCOCCOCC,CCCCCCCC,-0.20232,3.42
CCOCCOCCOCC,C1COCCO1,-0.20740999999999998,3.5060000000000002
CCOCCOCCOCC,CCC(=O)C,-0.18037999999999998,3.049
CCOCCOCCOCC,C[N+](=O)[O-],-0.21001999999999998,3.55
CCOCCOCCOCC,CCO,-0.17895999999999998,3.025
CCOCCOCCOCC,Cc1ccccc1,-0.21575,3.647
CN(C)C=O,[Ar],0.05088,-0.86
CN(C)C=O,[HH],0.07987000000000001,-1.35
CN(C)C=O,[C-]#[O+],0.06271,-1.06
CN(C)C=O,C(=O)=O,-0.04141,0.7
CN(C)C=O,O=S=O,-0.15736,2.66
CN(C)C=O,C,0.030760000000000003,-0.52
CN(C)C=O,CC,-0.013019999999999999,0.22
CN(C)C=O,CCC,-0.04023,0.68
CN(C)C=O,CCCC,-0.06389,1.08
CN(C)C=O,CC(C)C,-0.057379999999999994,0.97
CN(C)C=O,CCCCC,-0.09465,1.6
CN(C)C=O,CCCCCC,-0.11654,1.97
CN(C)C=O,CCCC(C)C,-0.10885,1.84
CN(C)C=O,CCCCCCC,-0.13902,2.35
CN(C)C=O,CC(C)CC(C)C,-0.12187,2.06
CN(C)C=O,CCCCCCCC,-0.1621,2.74
CN(C)C=O,CC(C)C(C)C(C)C,-0.15263,2.58
CN(C)C=O,CCCCCCCCC,-0.18575999999999998,3.14
CN(C)C=O,C1CCCC1,-0.11832000000000001,2.0
CN(C)C=O,C1CCCCC1,-0.13666,2.31
CN(C)C=O,CCC1CCCCC1,-0.1757,2.97
CN(C)C=O,C=C,-0.01952,0.33
CN(C)C=O,CC=C,-0.0562,0.95
CN(C)C=O,C/C=C/C,-0.0917,1.55
CN(C)C=O,C=CC=C,-0.09938999999999999,1.68
CN(C)C=O,C#C,-0.07572000000000001,1.28
CN(C)C=O,C(F)(F)(F)F,0.06744,-1.14
CN(C)C=O,CCCl,-0.11890999999999999,2.01
CN(C)C=O,CI,-0.15145,2.56
CN(C)C=O,CCI,-0.1615,2.73
CN(C)C=O,CC(F)F,-0.0917,1.55
CN(C)C=O,COC,-0.09229,1.56
CN(C)C=O,CCOCC,-0.12187,2.06
CN(C)C=O,CCCOCCC,-0.15677,2.65
CN(C)C=O,CC(C)OC(C)C,-0.13843,2.34
CN(C)C=O,CCOC(C)(C)C,-0.14376,2.43
CN(C)C=O,CCC(C)(C)OC,-0.16387000000000002,2.77
CN(C)C=O,CC(C)(C)OC,-0.13784000000000002,2.33
CN(C)C=O,C1CCOC1,-0.17334000000000002,2.93
CN(C)C=O,C1COCCO1,-0.22007,3.72
CN(C)C=O,CC(=O)C,-0.17452,2.95
CN(C)C=O,CCC(=O)C,-0.19877999999999998,3.36
CN(C)C=O,CC(=O)OC,-0.1692,2.86
CN(C)C=O,CC#N,-0.20173,3.41
CN(C)C=O,CCC#N,-0.21711,3.67
CN(C)C=O,CNC,-0.12483,2.11
CN(C)C=O,CCN(CC)CC,-0.155,2.62
CN(C)C=O,C[N+](=O)[O-],-0.24078000000000002,4.07
CN(C)C=O,O,-0.24078000000000002,4.07
CN(C)C=O,CO,-0.20114,3.4
CN(C)C=O,CCO,-0.22066,3.73
CN(C)C=O,CCCO,-0.24136999999999997,4.08
CN(C)C=O,C(C(F)(F)F)O,-0.30053,5.08
CN(C)C=O,FS(F)(F)(F)(F)F,0.03609,-0.61
CN(C)C=O,c1ccccc1,-0.19286,3.26
CN(C)C=O,Cc1ccccc1,-0.21534,3.64
CN(C)C=O,c1ccc(cc1)Cl,-0.24550999999999998,4.15
CN(C)C=O,CCCCCCCCCC,-0.21416,3.62
CN(C)C=O,CCBr,-0.13962,2.36
CN(C)C=O,CN(C)C,-0.10471,1.77
CN(C)C=O,C(=S)=S,-0.13015,2.2
CN(C)C=O,CCOC(=O)C,-0.18813,3.18
CN(C)C=O,CN(C)C=O,-0.27923000000000003,4.72
CN(C)C=O,CC(C)CC(C)(C)C,-0.13784000000000002,2.33
CN(C)C=O,C1CCCCCC1,-0.16446,2.78
CN(C)C=O,CCC=C,-0.07691,1.3
CN(C)C=O,CC(=C)C,-0.08578,1.45
CN(C)C=O,CC(C)(C)Cl,-0.13666,2.31
CN(C)C=O,CC(C)(C)Br,-0.15559,2.63
CN(C)C=O,C[Sn](C)(C)C,-0.13310999999999998,2.25
CN(C)C=O,CCC(C)(C)C,-0.10116,1.71
CN(C)C=O,CCCC=C,-0.10057,1.7
CN(C)C=O,CC(C)C=C,-0.09051000000000001,1.53
CN(C)C=O,CCCCC=C,-0.13074000000000002,2.21
CN(C)C=O,CC(=C)C=C,-0.12483,2.11
CN(C)C=O,CN,-0.11535999999999999,1.95
CN(C)C=O,CCC(C)O,-0.2461,4.16
CN(C)C=O,CC[Sn](CC)(CC)CC,-0.24255,4.1
CN(C)C=O,CC1CCCC1,-0.13074000000000002,2.21
CN(C)C=O,CCCCCC=C,-0.14553,2.46
CN(C)C=O,CC1CCCCC1,-0.15204,2.57
CN(C)C=O,CC(C)CCC(C)C,-0.14494,2.45
CN(C)C=O,CCC(C)C,-0.08223,1.39
CN(C)C=O,CC=C(C)C,-0.11122,1.88
CN(C)C=O,CCCCCCC=C,-0.1686,2.85
CN(C)C=O,C1CCC=CC1,-0.15855,2.68
CN(C)C=O,CCl,-0.10294,1.74
CN(C)C=O,S,-0.09525,1.61
CN(C)C=O,c1ccc(cc1)F,-0.20586999999999997,3.48
CN(C)C=O,c1ccc(cc1)Br,-0.26916999999999996,4.55
CN(C)C=O,c1ccc2ccccc2c1,-0.3449,5.83
CN(C)C=O,CCCCCCCCCCC,-0.24136999999999997,4.08
CN(C)C=O,CCCCCCCCCCCC,-0.26681,4.51
CN(C)C=O,c1ccc(c(c1)Cl)Cl,-0.2958,5.0
CN(C)C=O,C1CCCCCCC1,-0.19049000000000002,3.22
CN(C)C=O,CCF,-0.0846,1.43
CN(C)C=O,C(F)(F)(F)Cl,0.00355,-0.06
CN(C)C=O,CCCCCCC(=O)C,-0.27036,4.57
CN(C)C=O,c1ccc(cc1)I,-0.30763,5.2
CN(C)C=O,C/C=C\C=C,-0.13429000000000002,2.27
CN(C)C=O,C/C=C/C=C,-0.13193,2.23
CN(C)C=O,CC#C,-0.10826,1.83
CN(C)C=O,CCC#C,-0.1266,2.14
CN(C)C=O,C=CC#C,-0.14376,2.43
CN(C)C=O,CCCC#C,-0.15026,2.54
CN(C)C=O,CCCCC#C,-0.17038,2.88
CN(C)C=O,CCCCCC#C,-0.18754,3.17
CN(C)C=O,CCCCCCC#C,-0.21593,3.65
CN(C)C=O,CC(C)C=O,-0.17748,3.0
CN(C)C=O,C(F)(Cl)(Cl)Cl,-0.10944000000000001,1.85
CN(C)C=O,C(C(F)(F)F)F,-0.09584,1.62
CN(C)C=O,c1ccc(cc1)c2ccccc2,-0.40465,6.84
CN(C)C=O,CC(=C)C(=C)C,-0.15322,2.59
CN(C)C=O,CC/C=C/C,-0.10649000000000002,1.8
CN(C)C=O,CCC=C(C)C,-0.13547,2.29
CN(C)C=O,CCCCCCCCC=C,-0.22185,3.75
CN(C)C=O,CCCCCCCCCCC=C,-0.27095,4.58
CN(C)C=O,C=CCC=C,-0.11359000000000001,1.92
CN(C)C=O,C1CC=CC1,-0.12719,2.15
CN(C)C=O,C1CCC=CCC1,-0.18339,3.1
CN(C)C=O,C1CCCC=CCC1,-0.20706,3.5
CN(C)C=O,C1C=CC=C1,-0.1479,2.5
CN(C)C=O,C(F)F,-0.07336000000000001,1.24
CN(C)C=O,C(F)(F)F,-0.03727,0.63
CN(C)C=O,C(F)(Cl)Cl,-0.058570000000000004,0.99
CN(C)C=O,C(C(F)(F)F)(F)F,-0.06685,1.13
CN(C)C=O,CC(F)(F)Cl,-0.09051000000000001,1.53
CN(C)C=O,C(C(F)(F)F)(F)Cl,-0.1059,1.79
CN(C)C=O,C(C(F)(F)Cl)(F)(F)Cl,-0.06922,1.17
CN(C)C=O,C(C(F)(F)Cl)(F)(F)F,-0.06685,1.13
CN(C)C=O,C(=C(F)F)Cl,-0.08637,1.46
Cc1ccccn1,CCCCCCCC,-0.20913,3.535
Cc1ccccn1,C1COCCO1,-0.21941999999999998,3.7089999999999996
Cc1ccccn1,CCC(=O)C,-0.19777,3.343
Cc1ccccn1,C[N+](=O)[O-],-0.21155,3.576
Cc1ccccn1,CCO,-0.21433000000000002,3.623
Cc1ccccn1,Cc1ccccc1,-0.22469,3.798
CCC(C)CO,CCC,-0.057379999999999994,0.97
CCC(C)CO,CCCC,-0.08815,1.49
CCC(C)CO,CC(C)C,-0.07808999999999999,1.32
CCC(C)CO,CC=C,-0.0562,0.95
CCC(C)CO,C/C=C/C,-0.09287999999999999,1.57
CCC(C)CO,C/C=C\C,-0.09584,1.62
CCC(C)CO,C=CC=C,-0.08932999999999999,1.51
CCC(C)CO,CCCl,-0.10412,1.76
CCC(C)CO,CC(F)F,-0.053239999999999996,0.9
CCC(C)CO,COC,-0.08874,1.5
CCC(C)CO,CCC=C,-0.08578,1.45
CCC(C)CO,CC(=C)C,-0.08578,1.45
C(Cl)(Cl)Cl,[He],0.09122000000000001,-1.5419999999999998
C(Cl)(Cl)Cl,[Ar],0.03603,-0.609
C(Cl)(Cl)Cl,[Kr],-0.00059,0.01
C(Cl)(Cl)Cl,[Xe],-0.03135,0.53
C(Cl)(Cl)Cl,[Rn],-0.06626,1.12
C(Cl)(Cl)Cl,[HH],0.06981,-1.18
C(Cl)(Cl)Cl,O=O,0.041710000000000004,-0.705
C(Cl)(Cl)Cl,N#N,0.05147,-0.87
C(Cl)(Cl)Cl,[N-]=[N+]=O,-0.042,0.71
C(Cl)(Cl)Cl,[C-]#[O+],0.042,-0.71
C(Cl)(Cl)Cl,C(=O)=O,-0.026389999999999997,0.446
C(Cl)(Cl)Cl,CCCCC,-0.13973,2.362
C(Cl)(Cl)Cl,CCCCCC,-0.16979,2.87
C(Cl)(Cl)Cl,CCCC(C)C,-0.16032000000000002,2.71
C(Cl)(Cl)Cl,CCCCCCC,-0.20049,3.389
C(Cl)(Cl)Cl,CC(C)CC(C)C,-0.17995999999999998,3.042
C(Cl)(Cl)Cl,CCCCCCCC,-0.23071999999999998,3.9
C(Cl)(Cl)Cl,CC(C)C(C)C(C)C,-0.21481,3.6310000000000002
C(Cl)(Cl)Cl,CCCCCCCCC,-0.26137,4.418
C(Cl)(Cl)Cl,C1CCCCC1,-0.19286,3.26
C(Cl)(Cl)Cl,CCC1CCCCC1,-0.23575,3.985
C(Cl)(Cl)Cl,C(Cl)Cl,-0.15914,2.69
C(Cl)(Cl)Cl,C(Cl)(Cl)Cl,-0.18162,3.07
C(Cl)(Cl)Cl,C(Cl)(Cl)(Cl)Cl,-0.19227,3.25
C(Cl)(Cl)Cl,CI,-0.16446,2.78
C(Cl)(Cl)Cl,CCOCC,-0.18044000000000002,3.05
C(Cl)(Cl)Cl,CC(C)OC(C)C,-0.21416,3.62
C(Cl)(Cl)Cl,CC(C)(C)OC,-0.21179,3.58
C(Cl)(Cl)Cl,C1CCOC1,-0.22835999999999998,3.86
C(Cl)(Cl)Cl,C1COCCO1,-0.26266999999999996,4.44
C(Cl)(Cl)Cl,CC(=O)C,-0.19463,3.29
C(Cl)(Cl)Cl,CCC(=O)C,-0.22895,3.87
C(Cl)(Cl)Cl,CC(=O)OC,-0.20469,3.46
C(Cl)(Cl)Cl,CCCOC(=O)C,-0.27271999999999996,4.61
C(Cl)(Cl)Cl,CCCCOC(=O)C,-0.29521,4.99
C(Cl)(Cl)Cl,CCC(=O)OC,-0.23781999999999998,4.02
C(Cl)(Cl)Cl,CCCCC(=O)OC,-0.28929,4.89
C(Cl)(Cl)Cl,CCCCCC(=O)OC,-0.31414000000000003,5.31
C(Cl)(Cl)Cl,CC#N,-0.19227,3.25
C(Cl)(Cl)Cl,N,-0.10471,1.77
C(Cl)(Cl)Cl,CNC,-0.16032000000000002,2.71
C(Cl)(Cl)Cl,CCNCC,-0.22361999999999999,3.78
C(Cl)(Cl)Cl,CCN(CC)CC,-0.24965,4.22
C(Cl)(Cl)Cl,C[N+](=O)[O-],-0.20055,3.39
C(Cl)(Cl)Cl,O,-0.09111,1.54
C(Cl)(Cl)Cl,CO,-0.14849,2.51
C(Cl)(Cl)Cl,CCO,-0.17393,2.94
C(Cl)(Cl)Cl,CCCO,-0.19286,3.26
C(Cl)(Cl)Cl,CCCCO,-0.22954000000000002,3.88
C(Cl)(Cl)Cl,CCCCCO,-0.2603,4.4
C(Cl)(Cl)Cl,CCCCCCO,-0.29106,4.92
C(Cl)(Cl)Cl,CCCCCCCO,-0.32538,5.5
C(Cl)(Cl)Cl,c1ccccc1,-0.20765,3.51
C(Cl)(Cl)Cl,Cc1ccccc1,-0.24019000000000001,4.06
C(Cl)(Cl)Cl,CCc1ccccc1,-0.2532,4.28
C(Cl)(Cl)Cl,c1ccc(cc1)Cl,-0.24965,4.22
C(Cl)(Cl)Cl,CCBr,-0.16328,2.76
C(Cl)(Cl)Cl,CN(C)C,-0.1692,2.86
C(Cl)(Cl)Cl,CC(C)O,-0.18517,3.13
C(Cl)(Cl)Cl,c1ccncc1,-0.27981999999999996,4.73
C(Cl)(Cl)Cl,CCOC(=O)C,-0.23545,3.98
C(Cl)(Cl)Cl,Cc1cccnc1,-0.31887,5.39
C(Cl)(Cl)Cl,C(CCl)Cl,-0.20351,3.44
C(Cl)(Cl)Cl,CCCCl,-0.15677,2.65
C(Cl)(Cl)Cl,CN,-0.13725,2.32
C(Cl)(Cl)Cl,CC(=O)O,-0.2041,3.45
C(Cl)(Cl)Cl,CC(C)CO,-0.21534,3.64
C(Cl)(Cl)Cl,CCC(C)O,-0.2183,3.69
C(Cl)(Cl)Cl,CC(C)(C)O,-0.19286,3.26
C(Cl)(Cl)Cl,Cc1ccccc1C,-0.27036,4.57
C(Cl)(Cl)Cl,C1CCC(CC1)O,-0.30349,5.13
C(Cl)(Cl)Cl,C(CCl)O,-0.24846999999999997,4.2
C(Cl)(Cl)Cl,CC(C)CCC(C)C,-0.21084,3.5639999999999996
C(Cl)(Cl)Cl,CC(Cl)(Cl)Cl,-0.19168,3.24
C(Cl)(Cl)Cl,CCOC=O,-0.18913,3.197
C(Cl)(Cl)Cl,Cc1ccccn1,-0.29935,5.06
C(Cl)(Cl)Cl,CCl,-0.10767,1.82
C(Cl)(Cl)Cl,CC(Cl)Cl,-0.17807,3.01
C(Cl)(Cl)Cl,C(C(Cl)Cl)Cl,-0.22895,3.87
C(Cl)(Cl)Cl,C1CCOCC1,-0.2532,4.28
C(Cl)(Cl)Cl,CCCCCOC(=O)C,-0.32183,5.44
C(Cl)(Cl)Cl,CCCCN,-0.22835999999999998,3.86
C(Cl)(Cl)Cl,CS(=O)C,-0.38039,6.43
C(Cl)(Cl)Cl,Cc1cccc(c1)C,-0.25379,4.29
C(Cl)(Cl)Cl,COc1ccccc1,-0.29106,4.92
C(Cl)(Cl)Cl,c1ccc(cc1)C#N,-0.34017,5.75
C(Cl)(Cl)Cl,C1CCNCC1,-0.27626999999999996,4.67
C(Cl)(Cl)Cl,c1cc(cc(c1)Cl)Cl,-0.27154,4.59
C(Cl)(Cl)Cl,CCC(C)(C)O,-0.22132,3.741
C(Cl)(Cl)Cl,CC(C)CC(C)O,-0.2551,4.312
C(Cl)(Cl)Cl,c1ccc(cc1)F,-0.20351,3.44
C(Cl)(Cl)Cl,c1ccc(cc1)Br,-0.27805,4.7
C(Cl)(Cl)Cl,c1ccc(cc1)N,-0.33425,5.65
C(Cl)(Cl)Cl,c1ccc(cc1)[N+](=O)[O-],-0.3378,5.71
C(Cl)(Cl)Cl,c1ccc(cc1)CO,-0.34431,5.82
C(Cl)(Cl)Cl,CCN,-0.17452,2.95
C(Cl)(Cl)Cl,CCCN,-0.20528000000000002,3.47
C(Cl)(Cl)Cl,CCOCCO,-0.27166,4.592
C(Cl)(Cl)Cl,c1ccc(cc1)C=O,-0.30763,5.2
C(Cl)(Cl)Cl,CC(=O)c1ccccc1,-0.36383000000000004,6.15
C(Cl)(Cl)Cl,Cc1ccccc1N,-0.35614,6.02
C(Cl)(Cl)Cl,Cc1ccc(cc1)N,-0.35731999999999997,6.04
C(Cl)(Cl)Cl,C(F)(F)(Cl)Cl,-0.07395,1.25
C(Cl)(Cl)Cl,c1cc(ccc1Cl)Cl,-0.27391,4.63
C(Cl)(Cl)Cl,c1ccc(cc1)I,-0.28692,4.85
C(Cl)(Cl)Cl,Cc1cccc(c1)O,-0.32478,5.49
C(Cl)(Cl)Cl,Cc1ccc(cc1)O,-0.32893,5.56
C(Cl)(Cl)Cl,c1cc(cc(c1)O)O,-0.41471,7.01
C(Cl)(Cl)Cl,CCCC(C)CO,-0.28012,4.735
C(Cl)(Cl)Cl,CCC(C)CCO,-0.28663,4.845
C(Cl)(Cl)Cl,CCCC(C)(C)O,-0.24693,4.1739999999999995
C(Cl)(Cl)Cl,CCC(C)C(C)O,-0.28171999999999997,4.762
C(Cl)(Cl)Cl,CC(C)CCCO,-0.28633000000000003,4.84
C(Cl)(Cl)Cl,CCC(C(C)C)O,-0.27462,4.6419999999999995
C(Cl)(Cl)Cl,CC(C)C(C)(C)O,-0.26474000000000003,4.475
C(Cl)(Cl)Cl,CC(C)(C)CCO,-0.28355,4.793
C(Cl)(Cl)Cl,CCCC(C)(CC)O,-0.29662,5.013999999999999
C(Cl)(Cl)Cl,CCCC(C(C)C)O,-0.30467,5.15
C(Cl)(Cl)Cl,CCCC(C)C(C)O,-0.30787,5.204
C(Cl)(Cl)Cl,CCCCC(C)(C)O,-0.29024,4.906000000000001
C(Cl)(Cl)Cl,CCC(CC)(CC)O,-0.30627,5.1770000000000005
C(Cl)(Cl)Cl,CC(CC(C)(C)C)O,-0.30596999999999996,5.172000000000001
C(Cl)(Cl)Cl,CCC(C)(C(C)C)O,-0.29769,5.032
C(Cl)(Cl)Cl,CCC(C(C)(C)C)O,-0.28852,4.877
C(Cl)(Cl)Cl,COP(=O)(OC)OC,-0.41234,6.97
C(Cl)(Cl)Cl,CCOP(=O)(OCC)OCC,-0.46203,7.81
C(Cl)(Cl)Cl,CCCOP(=O)(OCCC)OCCC,-0.54782,9.26
C(Cl)(Cl)Cl,Cc1ccccc1O,-0.32774000000000003,5.54
C(Cl)(Cl)Cl,c1ccc2c(c1)cccn2,-0.41293,6.98
C(Cl)(Cl)Cl,COC(=O)c1ccccc1,-0.33602,5.68
C(Cl)(Cl)Cl,Cc1ccncc1,-0.32538,5.5
C(Cl)(Cl)Cl,CCOc1ccccc1,-0.31059000000000003,5.25
C(Cl)(Cl)Cl,C=CCO,-0.18813,3.18
C(Cl)(Cl)Cl,c1ccc(c(c1)[N+](=O)[O-])O,-0.34845,5.89
C(Cl)(Cl)Cl,CCC(=O)O,-0.21771,3.68
C(Cl)(Cl)Cl,CCCC(=O)O,-0.25971,4.39
C(Cl)(Cl)Cl,CCCCC(=O)O,-0.28633000000000003,4.84
C(Cl)(Cl)Cl,CCCCCC(=O)O,-0.33011,5.58
C(Cl)(Cl)Cl,CCCCCCCC(=O)O,-0.39104,6.61
C(Cl)(Cl)Cl,CC(C)CC(=O)O,-0.27568000000000004,4.66
C(Cl)(Cl)Cl,CC(C)NC(C)C,-0.23485999999999999,3.97
C(Cl)(Cl)Cl,CN(C)c1ccccc1,-0.35555,6.01
C(Cl)(Cl)Cl,CCc1ccccn1,-0.32183,5.44
C(Cl)(Cl)Cl,Cc1ccccc1[N+](=O)[O-],-0.35614,6.02
C(Cl)(Cl)Cl,Cc1cccc(c1)[N+](=O)[O-],-0.35377,5.98
